image,caption,Gemma_caption,Gemini_caption,Llama_caption
1348113612_5bfc5f429e.jpg,كلب ابيض واسود يقفز في بركه وراء كرات التنس,كلب اسود وابيض يسبح في مسبح مليء بكرات التنس.,كلب يسبح في مسبح ازرق مليء بكرات التنس الصفراء.,كلب يسبح في المسبح.
1348304997_afe60a61df.jpg,فتاه تقفز علي الترامبولين,طفله ذات شعر احمر تقفز في الهواء فوق مبني صغير، ويبدو انها تستمتع بوقتها.,فتاه سعيده تقفز علي الترامبولين في الهواء الطلق.,الفتاه الصغيره تقفز بمرح علي الترامبولين امام اخضر وابيض اللون.
1348891916_ebd4413033.jpg,كلب رطب يلعب في الماء,كلب ذهبي اللون يركض في الماء علي الشاطء، ويرش الماء حوله بحماس.,كلب جولدن ريتريفر مبلل يركض في البحر وتتناثر المياه من حوله.,كلب من فصيله المسترد الذهبي يجري في الماء.
1348947380_14f0fc1237.jpg,رجل وكلب يقفان علي تل يطل علي الماء,يتمشي رجل مسن مع كلبه علي حافه منحدر عشبي يطل علي البحر.,رجل وكلبه يتنزهان علي منحدر عشبي مطل علي البحر، والكلب مربوط بمقود احمر.,رجل مسن يمشي كلبا علي حافه منحدره مع البحر في الخلفيه.
1348957576_c4a78eb974.jpg,رجل وامراه يجلسان علي الارض محاطان بالقوارب,امراه ورجل يجلسان علي رصيف بجانب قوارب، ويبدو انهما يتحدثان او يتفاعلان مع بعضهما البعض، مع وجود كلب صغير بجانبهما.,شخصان يجلسان علي رصيف الميناء بجانب القوارب، يرافقهما كلب.,رجل وامراه جالسان علي حافه المرسي، يتحدثان ويضحكان، وراءهما قوارب صغيره.
1350811702_2ce7cfd0c5.jpg,صبي صغير يلقي خط الصيد الخاص به قباله رصيف الميناء,صبيا صغيرا يصطاد السمك من رصيف بجانب البحر، بينما يوجد اخرون يصطادون او يتمشون في الخلفيه.,صبي يصطاد السمك من رصيف بحري يرافقه اشخاص اخرون.,صوره لطفل يصيد السمك علي كورنيش البحر.
1350948838_fdebe4ff65.jpg,كلب ابيض واسود يقفز في بركه,كلب اسود وابيض يقفز في حمام سباحه، ويبدو انه يستمتع بوقت ممتع في الماء.,كلب يغطس في الماء لالتقاط كره.,كلب اسود وابيض يقف علي حافه حمام سباحه وينتظر قفز في الماء.
1351315701_6580b51c41.jpg,كلب اسود وكلب ابيض يركضان علي العشب,تظهر الصوره كلبين يركضان في حقل عشبي امام جمهور من الناس.,كلبان يركضان بحماس علي العشب الاخضر.,كلبان يركضان في حلبه.
1351764581_4d4fb1b40f.jpg,رجل اطفاء يطفء النار تحت غطاء محرك السياره,رجل اطفاء يروي سياره متوقفه علي جانب الطريق، مع فتح غطاء المحرك، ويبدو ان هناك شخصا اخر من رجال الاطفاء في الخلفيه.,يقوم رجل اطفاء برش الماء علي محرك سياره مفتوح الغطاء.,رجل اطفاء يرش الماء علي سياره اشتعلت فيها النار.
135235570_5698072cd4.jpg,رجل في حقل يحمل اعلام امريكيه,اليك وصف للصوره يظهر في الصوره رجل يركض علي العشب الاخضر امام نصب واشنطن ، بينما يطير قرص طاءر في الهواء.,شاب يستعد لالتقاط فريزبي امام نصب واشنطن والاعلام الامريكيه.,صوره لشاب يلقي بالفريسبي و هو ماش امام نصب واشنطن التذكاري في واشنطن العاصمه.
1352398363_9cc8ffcce9.jpg,طفل قذر يلعب في المنزل,طفلا صغيرا مغطي بالحبر او الطلاء، ويبدو انه قد احدث فوضي كبيره.,طفل صغير يرتدي حفاضه وجسده ووجهه مغطيان برسومات اقلام التحديد.,ولد يبدو انه قام برسم وشم مءقت علي جسده باستخدام الاقلام.
1352410176_af6b139734.jpg,فتاه شقراء تخطو علي سطوح راسيه في الرمال,طفله صغيره تمشي علي جذوع اشجار مثبته في رمال الشاطء، مع وجود البحر والسماء الغاءمه في الخلفيه.,فتاه تمشي وتتوازن علي جذوع خشبيه متراصه علي شاطء رملي.,الطفله تقف علي جذوع الاشجار علي الشاطء.
1354318519_2f9baed754.jpg,طفل يضحك,طفلا صغيرا بشعر احمر يبتسم بسعاده وهو ينظر الي انعكاسه في زجاج داكن.,طفل يرتدي ستره حمراء بقلنسوه يضحك بسعاده شديده، بينما يظهر انعكاسه بجانبه.,صوره لطفلين شقيقين يظهران في الصوره، احدهما ينظر الي الكاميرا ويبتسم.
1355450069_c0675b0706.jpg,رجل يصعد جدارا,متسلق صخور يرتدي حزاما وخوذه، وهو يتشبث بجدار صخري متدل اثناء تسلقه، مع وجود حبال وادوات تامين معلقه.,متسلق يتسلق صخره متدليه.,رجل يتسلق الجبل.
1355703632_5683a4b6fb.jpg,فتاه تتاهب لرمي الكره اللينه,اليك وصف للصوره فتاه صغيره ترتدي زي بيسبول ترمي الكره في ملعب بيسبول.,فتاه تلقي كره السوفتبول في الملعب.,الفتاه تلعب كره السله.
1355833561_9c43073eda.jpg,يتم رمي الطفل في الهواء,اب يرفع طفله الصغير في الهواء علي شاطء البحر تحت سماء ملبده بالغيوم.,طفل سعيد يبتسم وهو يرمي في الهواء فوق يدي شخص بالغ علي الشاطء.,رجل يحمل طفلا فوق راسه علي الشاطء.
1355935187_2c99648138.jpg,كلب ابيض يركض خارجا من خيمه,يخرج كلب ابيض صغير من خيمه زرقاء وبيضاء، ويبدو انه يستمتع بوقت ممتع في الهواء الطلق.,كلب ابيض فروي يخرج من نفق قماشي ملون علي العشب الاخضر.,كلب ابيض يخرج من خيمه ملونه.
1355945307_f9e01a9a05.jpg,رجل يقود سياره سباق حمراء قديمه الطراز,"سياره سباق حمراء قديمه تحمل الرقم وهي تنطلق علي مضمار سباق، مع وجود لافته """" في الخلفيه.","ساءق يقود سياره سباق كلاسيكيه حمراء تحمل الرقم علي حلبه، مع لافته ""بافاريا"" ضبابيه في الخلفيه.",صوره لسياره سباق حمراء تقودها سيده علي حلبه.
1356543628_c13ebe38fb.jpg,فتاه في غابه تحمل معدات التخييم,طفله صغيره تحمل معدات تخييم، بما في ذلك بساط نوم ولعبه دب، بينما تمشي في حديقه او غابه.,فتاه صغيره تحمل الكثير من اغراض التخييم وهي تسير في الطبيعه.,حملت فتاه صغيره اشياء كثيره.
1357689954_72588dfdc4.jpg,يحاول صبي تسلق الصخور الصناعيه,صبيا يمارس رياضه تسلق الجدران، وهو يرتدي حزام امان ويتشبث بالمسكه علي الجدار.,ولد يتسلق جدار تسلق صناعي تحت سماء زرقاء صافيه.,ولد يصعد حاءطا صخريا في يوم مشمس.
1357724865_4faf4e1418.jpg,رجل يقف في الماء بالقرب من شلال,شخصا يقف في مياه زمرديه صافيه اسفل شلال متدفق، محاطا بالصخور والنباتات الخضراء.,مشهد طبيعي لشلال يتدفق في بركه مياه فيروزيه صافيه، يقف فيها شخص.,صوره لشخص في بحيره امام شلال.
1357753846_6185e26040.jpg,كلب كبير اسود يعبر عبر المياه بالقرب من الشاطء,كلب اسود اللون وهو يركض في الماء، مما يخلق تموجات وانعكاسا في الماء الصافي.,كلب اسود يخوض الماء محدثا رشاشات.,كلب يجري في الماء.
1358089136_976e3d2e30.jpg,صبي يتزلج اسفل تله,رجل يتزلج علي لوح علي كثيب رملي كبير تحت سماء زرقاء صافيه.,شاب يتزلج علي الرمال فوق كثبان رمليه كبيره تحت سماء زرقاء صافيه.,رجل يركب الجبل الرملي.
1358892595_7a37c45788.jpg,كلب يمر عبر الغابه مع شيء في فمه,كلب صغير بلون ذهبي فاتح وهو يجري بسرعه في العشب، يحمل شيءا في فمه ويبدو سعيدا.,كلب يقفز في الهواء ويحمل ورقه شجر في فمه.,كلب يجري في الحديقه ويحمل ورقه في فمه.
1359101233_16c2c150e3.jpg,كلب في ستره حمراء يركض علي العشب,يركض كلب افغاني ذو فراء طويل بلون بني ذهبي في حقل اخضر، ويرتدي ستره حمراء.,كلب افغاني يرتدي ستره حمراء يعدو في حقل عشبي.,كلب من نوع الماني طويل الشعر يجري في سهل اخضر.
1361420539_e9599c60ae.jpg,كلب اسود يركض في العشب,جرو كلب بودل بني داكن اللون، ذو شعر مجعد، وهو يركض في العشب الاخضر.,جرو بني مجعد يمرح بين الاعشاب الخضراء الطويله.,كلب اسود يركض في حقل اخضر.
1363843090_9425d93064.jpg,كلب اسود يسترد قطعه قماش من مجري ماءي,كلب اسود وبني اللون وهو يمشي في نهر ضحل، يحمل قطعه قماش بيضاء في فمه.,كلب اسود يخوض في الماء ويحمل قطعه قماش بيضاء بفمه.,كلب اسود واحمر يعض عظمه في مياه صافيه ضحله.
1363924449_487f0733df.jpg,صبي يضع يديه علي راسه,طفلا صغيرا يقف علي العشب، ويداه علي راسه بتعبير مفاجء او قلق علي وجهه.,طفل صغير ذو شعر اشقر يضع يديه علي راسه وفمه مفتوح، يبدو وكانه يعبر عن دهشه او فرح في الهواء الطلق.,طفل يصرخ باكيا وهو يمسك راسه بيديه.
136552115_6dc3e7231c.jpg,رجل يلبس خوذه يقفز عن صخره علي دراجه جبليه,اليك وصف للصوره يظهر في الصوره راكب دراجات جبليه يقفز فوق صخره علي مسار في الغابه ، بينما يراقب راكب اخر من الاسفل.,يقفز راكب دراجه جبليه فوق صخره ترابيه، بينما يشاهد راكب دراجه اخر في الخلفيه وسط غابه من الاشجار.,رجل يركب دراجه هواءيه في الجو.
136639119_6040b00946.jpg,رجل يتسلق جرفا ويصل الي حد,متسلق صخور يتسلق منحدرا صخريا حادا، مع وجود حبال وادوات تسلق، وخلفيه من الاشجار والسماء الزرقاء.,متسلق صخور يتسلق قوسا صخريا فوق منظر طبيعي اخضر.,يصعد رجل علي حافه منحدره من الصخر.
136644343_0e2b423829.jpg,صبي يركب ارجوحه الاطارات,طفلا صغيرا يبتسم وهو يتارجح علي اطار سياره معلق بسلاسل في حديقه.,طفل يبتسم وهو يتارجح علي ارجوحه اطار.,ولد يلعب في الملعب.
136644885_f7d2bbf546.jpg,مجموعه من الناس يسيرون عبر جسر,تظهر الصوره فتاه تمشي علي جسر معلق مصنوع من الحبال بين الاشجار في غابه.,امراه تعبر جسرا حبليا عاليا بين الاشجار في غابه.,امراه تتسلق في غابه.
1368338041_6b4077ca98.jpg,ثلاثه كلاب علي رصيف,تتفاعل ثلاثه كلاب صغيره - اثنان ابيض اللون وواحد اسود - في ساحه مرصوفه بالحصي امام مبني حجري.,تظهر ثلاثه كلاب، اثنان ابيضان وواحد داكن، تتجول علي رصيف حجري.,ثلاثه كلاب تتشابك في الزاويه.
1368383637_614646cc4a.jpg,يقف الناس داخل هيكل نوافذ,ممرا طويلا ومضيءا في مبني حديث، مع وجود اشخاص وكلاب يسيرون فيه، وتركيز علي التصميم المعماري الفريد للمبني.,ممرا داخليا في مبني حديث ذي تصميم معماري فريد، حيث يتجول اشخاص وكلاب علي ارضيه عاكسه مضاءه بضوء ساطع.,الصوره لشرفه في مبني حديث يظهر فيها اشخاص وهم يمشون.
136886677_6026c622eb.jpg,رجل كبير يجلس في مءخره زورق مع رجل اخر في النهر,شخصان يجدفان بقارب الكانو في نهر ضيق محاط بالاشجار الخضراء الكثيفه.,شخصان يجدفان في زورق عبر نهر محاط بالغابات الكثيفه.,صوره لشاب يمخر البحر بقارب في نهر.
1370615506_2b96105ca3.jpg,محل النبيذ,"تظهر الصوره واجهه متجر نبيذ باسم "" "" مضاءه بنور النيون، مع وجود شخصين يقفان امام المتجر.",متجر نبيذ مضاء ليلا يقف امامه شخصان.,صوره لمتجر نبيذ في المساء.
1370773415_967b1ffde1.jpg,رجل وامراه يقفان خارج المطعم,"تظهر الصوره واجهه متجر قهوه مضاءه بشكل دافء باسم "" - ""، مع وجود شخصين يقفان امامه.",مقهي مضاء بدفء في المساء يقف امامه شخصان يتحدثان.,صوره لشارع هادء في حي سكني، حيث يظهر في المقدمه شجره وحديقه امام مبني، وبجانبها شخصان يتحدثان.
1377668044_36398401dd.jpg,كلب يقفز في الهواء لاستعاده عصا من رجل,رجل يرفع قطعه طعام عاليه في الهواء بينما يقفز كلبه بحماس لمحاوله الامساك بها.,كلب يقفز في الهواء محاولا الامساك بعصا يرفعها رجل.,رجل يرفع ذراعه اليمني ويقفز كلب بجانبه.
1378557186_4bd1da6834.jpg,رجل ومدفع وكلب,رجل يطلق النار ببندقيه، بينما يقف بجانبه كلب ذو لون بني وابيض.,رجل يصوب ببندقيه وكلبه يقف بجانبه في الهواء الطلق.,صوره لرجل يطلق النار من بندقيه ولكنه ينظر الي كلب بجانبه.
1379026456_153fd8b51b.jpg,رجل يجلس علي طاوله امام جهاز كمبيوتر يرتدي سماعات الراس,رجلا شابا يرتدي سماعات راس ويعمل علي جهاز كمبيوتر محمول في مقهي او مكان عام.,رجل يرتدي سماعات راس ويعمل بتركيز علي حاسوبه المحمول.,رجل يرتدي سماعه الراس ويستخدم جهاز كمبيوتر محمول.
1383698008_8ac53ed7ec.jpg,رجل يتسلق علي هيكل علي تله ثلجيه,متزلجا علي الثلج وهو يقوم بحركه بهلوانيه فوق حاجز في منتجع جبلي، مع خلفيه من الجبال المغطاه بالثلوج والسماء الزرقاء الصافيه.,متزلج علي الثلج يءدي حركه علي حاجز في جبال ثلجيه تحت سماء زرقاء صافيه.,يركب المتزلج علي الجليد حاجزا ثلجيا في الجبال.
1383840121_c092110917.jpg,كلب بني يرقد علي غلاف ازرق,تستلقي كلبه من سلاله فيزلا ذات لون بني محمر علي سرير ازرق بنقشه معقده، ويبدو انها ناءمه او مسترخيه للغايه.,كلب ناءم علي ملاءه زرقاء منقوشه.,كلب ناءم علي السرير.
1384292980_4022a7520c.jpg,الفتيات يسرن في الشارع,تتجول امراتان شابتان علي ما يبدو في مدينه، وهما تسيران بجانب جدار خرساني مع تركيبات سباكه.,امراتان تسيران في الشارع.,صوره لامراتين يمشيان في الخارج.
1386251841_5f384a0fea.jpg,امراه تنظر الي الملابس علي العارضات,تظهر الصوره امراه تقف امام واجهه عرض متجر ازياء، حيث تعرض دمي العرض ملابس انيقه في بيءه ذات اضاءه صفراء.,امراه تتامل عارضات ازياء تعرض ملابس في متجر مضاء باللون الاصفر.,المراه تنظر الي العارضات في محل ملابس.
1386964743_9e80d96b05.jpg,صبي يلعب بكاميرا بينما يقف علي مسار ترابي,طفلا صغيرا يقف في منتصف طريق ترابي، يحمل كاميرا ويلتقط صوره، محاطا بحقول خضراء واشجار ونباتات.,طفل صغير يقف علي ممر ترابي في حقل اخضر واسع، ويلتقط صوره بكاميرا صغيره.,طفل يقف علي طريق ترابي في حقل ويحمل كاميرا.
138705546_be7a6845dd.jpg,فتاتان تطلان علي بحيره باتجاه رجل يصطادان,تجلس فتاتان علي الصخور بجانب النهر، وهما تنظران الي قارب صغير في المسافه، محاطه باشجار خضراء مورقه.,فتاتان تجلسان علي صخور بجانب الماء تحت اغصان شجره وارفه.,صورتان لفتاتين تجلسان علي صخره عند حافه بحيره، ويراقبان قاربا يتحرك في الماء.
138718600_f430ebca17.jpg,فتاتان تجلسان علي احد الانهار مع دراجتهما بجانبهما,تجلس فتاتان علي ضفه نهر او قناه، بجوار دراجتيهما، وتتبادلان الحديث في يوم مشمس.,امراتان تستريحان بجانب مجري ماءي، وبجانبهما دراجتان هواءيتان.,صورتان لامراتين شابتين جالستين علي العشب بجانب دراجتين لهما علي ضفه نهر.
1387443857_602ab6f9bf.jpg,رجل مسن يجلس علي مقعد حجري,تظهر الصوره مجموعه من كبار السن جالسين علي رصيف ميناء، ربما يستمتعون بالطقس او يراقبون الطيور، مع وجود سيارات في الخلفيه.,يجلس رجلان مسنان علي رصيف ميناء، وبجانبهما حبال وسلاسل.,صوره تظهر اثنين من كبار السن جالسين علي حافه رصيف بحري، يبدو انهم يستمتعون بالمنظر البحري.
1387461595_2fe6925f73.jpg,يقف الرجال بجانب واجهه صخريه,اليك وصف للصوره تظهر الصوره اربعه رجال يقفون امام علامه ترحيب حجريه كبيره في مدينه بنزانس ، كورنوال ، انجلترا ، والتي تعرض الترحيب باللغتين الانجليزيه والكورنيشيه.,علامه حجريه كبيره ترحب بالزوار في بنزانس، يقف بجانبها ثلاثه رجال، مع شارع مليء بالسيارات المركونه في الخلفيه.,"الصوره تصور ثلاثه رجال يقفون بجانب حجر كبير من الجرانيت مكتوب عليه "" ' ""."
1387785218_cee67735f5.jpg,طفل يدفع دميه في عربه اطفال,طفل صغير يمشي في الشارع وهو يدفع عربه دميه، بينما يمر اطفال اخرون وكلب في الخلفيه.,طفل صغير يدفع عربه دمي بها دميه في الشارع.,طفل رضيع يدفع عربه اطفال بها دميه علي الطريق.
1388346434_524d0b6dfa.jpg,رجل ذو شعر رمادي وقميص منقوش يطل عن شرفه,رجل مسن يرتدي قميصا منقوشا يقف علي حافه مرتفعه ويتامل منظرا لمدينه ذات مبان تاريخيه وطريق مزدحم.,رجل يتكء علي جدار ويطل علي منظر مدينه.,رجل مسن ينظر الي منظر المدينه من شرفه.
1388373425_3c72b56639.jpg,امراه في قميص اسود تجلس بجانب حقيبه خضراء,تجلس امراه ترتدي نظاره شمسيه وقميصا اسود علي حافه رصيف حجري، وتتحدث علي هاتفها المحمول بينما توجد حقيبه وحقيبه تسوق بجانبها، مع وجود اشخاص اخرين في الخلفيه.,امراه ترتدي نظارات شمسيه تبتسم وهي تتحدث في هاتفها، جالسه علي جدار في يوم مشمس.,صوره لامراه تتحدث في الهاتف وهي جالسه علي حافه.
1388970365_162edcceb4.jpg,كلب اسمر واثنين من الكلاب السوداء في حقل عشبي ضخم,ثلاثه كلاب تلعب في حقل عشبي اخضر، مع وجود مبني صغير واشجار في الخلفيه.,تظهر الصوره ثلاثه كلاب في حقل عشبي.,ثلاثه كلاب يلعبون في حقل.
1389264266_8170bc1c54.jpg,فتاه ذات شعر وردي متعرج تنظر الي الخلف بينما الفتاه التي تمشي بجانبها تنظر اليها,اليك وصف للصوره تتحدث فتاتان ترتديان ملابس غير تقليديه في الهواء الطلق ، مع وجود اشجار ومباني في الخلفيه.,تظهر شابتان بازياء شبابيه مميزه، احداهما بشعر وردي وتنظر الي الخلف.,صوره لامراتين يقفان في الخارج، يبدو انهن يتحادثن.
1389323170_d1c81d6b51.jpg,امراه وحيده تجلس علي مقعد اخضر معتاد مع فنجان في يدها,تجلس امراه علي مقعد اخضر علي شكل حجر في مكان عام، وتحتسي مشروبا بينما يحيط بها اشخاص اخرون يستمتعون باشعه الشمس في مقهي او منطقه جلوس خارجيه.,تجلس امراه علي مقعد اخضر خارج مقهي، وتحمل كوب قهوه في يدها.,امراه جالسه علي كرسي اخضر مع حقيبه كبيره خلفها، تحمل كوبا احمر وتتحدث مع شخص اخر.
1389651420_8d95d8f6ed.jpg,صبي صغير يبتسم ابتسامه عريضه في الخلفيه,طفلا يبتسم بفرح وهو يقف بجانب حلبه سباق الكارتينغ، بينما تجلس فتاه صغيره في احدي الكارتينغ.,صبي صغير بوجه مضحك امام فتاه تجلس في سياره كارتينغ بمضمار السباق.,ولد يضحك وهو ينظر الي كاميرا التصوير، وفتاه تركب عربه سباق في الخلف.
1392272228_cf104086e6.jpg,كلب اسود يحمل جسما خارج الماء,كلب اسود اللون يركض في الماء وهو يحمل عصا في فمه، مع وجود امواج حوله.,كلب اسود يركض في امواج البحر وهو يحمل عصا.,كلب يجري في البحر وفي فمه عصا.
1394368714_3bc7c19969.jpg,كلب ينتظر بينما يفتش صاحبه علي شيء,تظهر الصوره كلبا صغيرا من فصيله البج يحدق في الكاميرا بينما ينحني رجل امامه للبحث في صندوق من البضاءع في سوق او بيع مراب.,كلب بغ يقف امام شخص منحن يحمل مقودا ازرق، وسط مشهد سوق خارجي.,رجل يلتقط كيس بلاستيك بجانب كلب.
1394396709_65040d97ab.jpg,كلب بني يحمل جسما اسود,كلب ذهبي اللون يركض في الماء وهو يحمل لعبه صفراء وسوداء في فمه.,كلب جولدن ريتريفر يسبح في مياه خضراء ويحمل لعبه في فمه.,كلب يجري في الماء وهو يحمل في فمه لعبه.
1394599090_fe0ba238f0.jpg,يلعب اب وطفل في البركه,اب يلعب مع ابنه الصغير في حمام السباحه، ويبدو ان الطفل يستمتع بالماء ويضحك.,صبي صغير يتفاعل مع رذاذ الماء المتناثر عليه بفم مفتوح في المسبح، بينما يمسكه رجل.,صوره لطفل يغتسل مع شخص بالغ في المسبح.
1394620454_bf708cc501.jpg,رجل يقف في منطقه صخريه,تظهر الصوره رجلا يرتدي ملابس ملونه ويقف امام منظر طبيعي جبلي مهيب تحت سماء غاءمه.,رجل يرتدي ملابس المشي علي قمه جبليه صخريه تحت سماء غاءمه.,رجل يرتدي ملابس رياضيه، يقف علي قمه جبليه، مع وجود جبال عاليه في الخلفيه تحت سماء غاءمه.
1394927474_0afdd82fc4.jpg,يقف صبي يحمل بالون اخضر خارج مبني كبير,واجهه مبني قديم مصنوع من الحجر، مع باب كبير مزخرف، ورجل يقف بجانبه.,فتي وبالون اخضر امام باب خشبي مزخرف لمبني حجري قديم.,الصوره لشاب امام باب خشبي كبير مزخرف في مبني قديم.
1396064003_3fd949c9dd.jpg,رجل راسا علي عقب في الهواء فوق الماء,رياضيا يقوم بحركه بهلوانيه مذهله اثناء التزلج علي الماء، حيث يرتفع في الهواء مع رذاذ الماء المتطاير حوله.,رياضي ويك بورد يءدي حركه بهلوانيه مقلوبه في الهواء.,رجل يمارس رياضه التزحلق علي الماء.
1396703063_e8c3687afe.jpg,رجل يرتدي قميصا ازرقا وقبعه رعاه البقر,شابا يرتدي قبعه رعاه البقر وسلسله ذهبيه، يقف امام خلفيه ضبابيه لالعاب المهرجان المضيءه.,شاب يرتدي قبعه قش ومسبحه، يقف امام خلفيه ملاهي ضبابيه وملونه.,رجل يرتدي قميص ابيض و قبعه ذي حافه عريضه، ويرتدي سلسله ذهبيه، ويقف في سوق مزدحم، وينظر الي شيء ما في المسافه.
1397295388_8a5b6b525d.jpg,الناس ينتظرون امتعتهم,منطقه استلام الامتعه في مطار مزدحمه بالركاب المنتظرين لاستعاده حقاءبهم.,صاله مزدحمه لاستلام الامتعه في مطار، تبرز فيها الات قمار بجانب سيور الحقاءب.,الصوره تصور مشهدا في مطار، حيث ينتظر المسافرون وصول امتعتهم علي سيور متحركه.
1397887419_e798697b93.jpg,كلب اسمر يطارد اشقر في العشب,تظهر الصوره كلبان يركضان علي العشب الاخضر، مع وجود تاثير ضبابي بسبب الحركه السريعه.,"كلبان من فصيله ""الداشهند"" يركضان بسرعه عبر عشب اخضر.",كلبان يركضان في الحديقه.
1397923690_d3bf1f799e.jpg,رجل يتزلج بعنايه اسفل تله مغطاه بالثلج يرتدي حقيبه ظهر,شخصا يرتدي ملابس التزلج ويتسلق تلا مغطي بالثلوج باستخدام عصي التزلج.,متزلج في صوره ظليه يتسلق منحدرا ثلجيا تحت سماء زرقاء صافيه.,رجل يمشي في طريق منحدر علي الجليد باستخدام معدات التزلج.
1398606571_f543f7698a.jpg,فتاه في دولاب تستمتع البحيره,طفله صغيره ترتدي ملابس سباحه ورديه وخضراء، وهي تطفو في الماء داخل اطار اسود، وتبدو متحمسه او مندهشه.,فتاه صغيره تصرخ في الماء وهي داخل طوق سباحه.,طفله في حوض سباحه مطاطي في البحر.
1398613231_18de248606.jpg,رجل وفتاه يجلسان داخل انبوب عاءم في الماء,رجل وطفله صغيره جالسان داخل اطار سباحه اسود في الماء، ويبدو انهما يستمتعان بوقت ممتع.,اب وابنته يطفوان بسعاده في الماء علي عوامه.,رجل وطفله يجلسان علي طوق في الماء.
1398873613_7e3174dd6c.jpg,رجل يبتسم ويمسك بحبل علي متن قارب,رجل يرتدي قميصا بنيا ونظارات شمسيه وهو يلوح بعلم امريكي بينما يقف بجانب شخص اخر علي متن قارب.,رجل يبتسم مرتديا نظارات شمسيه علي متن قارب، وخلفه رجل اخر وعلم امريكي.,رجلين، احدهما يرتدي نظاره شمسيه وقميص بني اللون، يقوم باجراء عمل ما علي حبل او سلسله متصله بمركب، بينما الرجل الاخر يظهر من الخلف مرتديا قميص ابيض اللون.
1400424834_1c76e700c4.jpg,سيده مرتديه السواد تنتظر علي رصيف القطار,تظهر في الصوره فتاه شابه ترتدي بنطال جينز وقميصا مخططا وحذاء بوت، وهي تقف علي رصيف بجانب نباتات واشجار، وتنظر الي الجانب.,شابه ترتدي بلوزه بنمط الحمار الوحشي وبنطلون جينز وحذاء بوت، تقف علي رصيف وتحمل حقيبه ظهر.,الفتاه تقف علي جسر للمشاه امام مبني.
1402640441_81978e32a9.jpg,فتي صغير يرتدي بدله كره قدم حمراء,طفلا يقفز محاولا ضرب كره قدم بالراس علي شاطء رملي.,طفل يقفز في الهواء ليمسك بكره القدم علي الرمال.,صبي يركل كره القدم في الهواء علي الشاطء.
1402641725_5e027ecaa7.jpg,يلعب اربعه اطفال علي تله من الرمال,اربعه اطفال يستمتعون بالانزلاق علي كثبان رمليه، مما يثير الغبار حولهم.,اطفال يمرحون وهم يتزحلقون علي الكثبان الرمليه.,الاطفال يلعبون في كومه من الرمل.
1402843760_d30f1dbf0f.jpg,كلب يتسلل عبر العشب,كلب ابيض صغير من نوع بيشون فريز يركض بحماس بين اعمده في مسابقه رشاقه الكلاب.,كلب ابيض صغير يجتاز الاعمده علي العشب الاخضر.,كلب من فصيله البيشون فريزيل يركض في حقل.
1402859872_0fc8cf8108.jpg,صبي يرفع كفه لتمثال,"طفله صغيره ترفع يدها لتعطي ""خمسه"" لتمثال علي شكل دميه اختبار تصادم باللون الاصفر.",طفله تلمس يد دميه اختبار تصادم صفراء.,طفل يصافح دميه صفراء كبيره.
1403414927_5f80281505.jpg,كلب اسود امام كلب ابيض يسير علي طريق في غابه,تتجول كلبان رشيقان علي طول مسار ترابي ضيق في غابه خضراء مورقه.,كلبان يسيران علي درب ترابي في غابه خضراء.,كلابان يمشيان علي طريق في الغابه.
140377584_12bdbdf2f8.jpg,رجل يتسلق الصخور,رجل يتسلق صخره كبيره، وهو يرتدي خوذه وحزام امان، مع وجود حبل يربطه، وخلفه غطاء نباتي كثيف.,متسلق يرتدي خوذه يصعد صخره كبيره مستخدما حبلا، مع خلفيه من الاشجار الخضراء.,رجل يتسلق الجبل في صوره.
140430106_2978fda105.jpg,كلب يجري علي طول الشاطء في يوم مشمس,كلب بني اللون وهو يقفز بسعاده علي شاطء رملي واسع تحت سماء زرقاء صافيه مع بعض الغيوم.,كلب يثب علي الشاطء.,كلب يلعب علي الشاطء.
1404832008_68e432665b.jpg,رجل في حزام,رجل عار الصدر وهو يرتفع من الماء بعد ان سحبته اله ماءيه، مما ادي الي تناثر المياه حوله.,رجل يتطاير فوق الماء من نظام كابلات، محدثا رذاذا هاءلا، وانعكاس صورته يظهر في الاسفل.,رجل يمارس رياضه التزحلق علي الماء باستخدام حبل المطاط.
1405221276_21634dcd58.jpg,كلبان ينفضان الماء بينما يلعبان بكره علي حافه جسم من الماء,كلبين يستمتعان باللعب في الماء، مع رشاشات الماء تتطاير حولهما، ويبدو احدهما سعيدا وينظر مباشره الي الكاميرا.,كلابا تنفض الماء، وتتالق قطراته في اشعه الشمس الذهبيه.,كلبان يلعبان في الماء.
140526326_da07305c1c.jpg,رجل يرتدي حزاما وحبل علي خصره يقف علي قمه جبل يطل علي الماء,متسلق صخور يرتدي معدات السلامه، وهو ينظر الي الاسفل من فوق جرف صخري يطل علي مدينه وساحل جميل.,متسلق يقف علي قمه صخريه مطله علي مدينه ساحليه واسعه وخليج مليء بالقوارب.,رجل يتسلق الجبال في الهواء الطلق، مرتديا حزام امان، ويربط حبال التسلق في منطقه بها العديد من الاشجار والجبال.
